N=100, M=10, T=30
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXPERIMENT | AKPU                                      | SPU                                       | SPUhull                                   | KPU                                       | AMPU
           |                 TIME                VALUE |                 TIME                VALUE |                 TIME                VALUE |                TIME                 VALUE |                 TIME                VALUE
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0 |            21.855271       0.855307800382 |             8.942193       0.844351980467 |             7.369732       0.844351980467 |            21.802294       0.855536008146 |            15.180829       0.880179888652
         1 |            21.962425       0.765057340787 |            12.227518       0.760182470095 |             8.948024       0.760182470076 |            21.866421       0.770341612009 |            35.151907       0.821026844994
         2 |            30.135645       0.717354024523 |            22.400976       0.632996948992 |            15.814171       0.632996949026 |            29.949846       0.672447871287 |            25.907805       0.864886517348
         3 |            21.168411       0.820824745444 |             7.945673       0.801664796986 |             7.094897       0.801664796986 |            21.270359       0.813208562863 |            23.640516       0.844982834651
         4 |            23.823968       0.822474285824 |            10.633435        0.82159252525 |             9.628999        0.82159252525 |            23.930518       0.822326878815 |            24.466387       0.857150360019
         5 |            28.427857       0.775891317013 |            10.634935       0.754656347381 |            14.269008        0.75465634738 |            28.345367       0.754656711399 |            17.110888       0.782420898694
         6 |             21.85867       0.776432915022 |            11.226935       0.752461638723 |            10.125539       0.752461638723 |            21.902793       0.768342377946 |            23.107055       0.800283758003
         7 |            23.759502        0.80426042898 |              11.3193       0.784698164757 |            12.056569       0.784698164757 |            23.786084       0.785291301245 |             20.21978       0.863849873204
         8 |            22.016654       0.671275046737 |            11.282523       0.570794319946 |            10.223048       0.570794319977 |             22.14321       0.633874038763 |            13.965049       0.712995604863
         9 |            19.878585       0.788487728343 |             8.927162       0.781964291379 |             8.051938       0.781964291379 |            19.920012       0.810160699212 |            13.664241       0.816840149123
        10 |            19.986089       0.746294726242 |             9.066661       0.746170624475 |             8.142131       0.746170624475 |            19.878218       0.746290047818 |             25.21003       0.771927486936
        11 |             19.84581       0.777699519624 |             9.016116       0.747415981802 |             8.095153       0.747415981802 |            19.883987       0.814153768447 |            22.603708       0.816789472803
        12 |            19.916199       0.685146335483 |             11.26783       0.685120768159 |             8.128248       0.685120768159 |            19.877707       0.685145940174 |            23.650441       0.817184186871
        13 |            22.074727        0.86963614808 |            15.865585        0.86659033153 |            10.202693       0.866590331528 |            22.064485       0.866672281372 |            20.945596       0.895209269313
        14 |             17.99941       0.826716383366 |             6.761111       0.806801539564 |             6.120291       0.806801539567 |            17.912532        0.83852633903 |             13.51403       0.859008346018
        15 |            23.867706       0.681295338499 |            13.395974       0.648648125406 |             12.10012       0.648648125398 |            23.898496        0.68048974227 |             18.47824       0.683949743701
        16 |            24.002006       0.792638539435 |            13.475923       0.788012973031 |            12.191511       0.788012973031 |            23.959348       0.792984987532 |            21.936243       0.846166386491
        17 |            19.918687       0.791678615026 |             8.953308       0.786143192431 |             8.191228       0.786143192431 |            20.011406       0.793366279201 |              17.0926        0.83028894289
        18 |             19.98741       0.752123897189 |              9.03503       0.739830869927 |             8.117375       0.739830869927 |            19.937024       0.753983910555 |            21.817032        0.86988764301
        19 |            21.825819       0.880247166669 |            11.202339       0.879614605696 |            10.119981       0.879614605696 |            21.942796        0.87978959866 |             13.03362       0.884185753745
        20 |            21.908245       0.830050021573 |             11.18277       0.828960304388 |            10.137844       0.828960304388 |            21.949574       0.828960698847 |            22.834802       0.844110718018
        21 |             19.79319       0.737131132848 |            11.225985       0.672086538723 |             8.072792       0.672086538723 |             19.88491       0.736934481491 |            19.403365       0.776931320027
        22 |            19.641577       0.743745383996 |             8.917135       0.743517202032 |             8.024005       0.743517202032 |             19.75539        0.74358697432 |            22.282692       0.846276282335
        23 |            17.737042        0.86887853821 |            13.295378       0.825325478342 |             6.020492       0.825325478341 |            17.714632       0.888007984133 |             20.50429       0.914313190343
        24 |            19.822588       0.637000105754 |             8.960381       0.617157957159 |             8.080848       0.617157957159 |            19.806592       0.625856130971 |            26.941041       0.692196335703
        25 |            19.935506       0.705704625636 |             8.948949       0.642380419005 |             8.163703       0.642380419005 |            19.915908       0.703608229398 |            15.440815       0.779368648602
        26 |            22.029343       0.689161736807 |            11.171069       0.685013870111 |            10.135042       0.685013870111 |            21.930644       0.692149948631 |             21.79028       0.764622997981
        27 |            21.675994       0.804595341493 |            11.062913       0.803167618169 |            10.002566       0.803167618169 |            21.551977       0.804308391082 |            17.250632       0.818736242377
        28 |            19.990126       0.666484550765 |             9.040102       0.639766003339 |             8.190037       0.639766003339 |            19.938134       0.663010687025 |            17.059166       0.737101571678
        29 |            19.885839       0.756766396617 |              8.96801       0.756544791782 |             8.086105       0.756544791782 |            20.022529       0.756850613493 |            17.233823       0.805112156059
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   AVERAGE |           21.5576767       0.768012004546 |        10.8784406333       0.747121089302 |        9.33013633333       0.747121089303 |        21.5584397667       0.766028769871 |           20.3812301       0.816599447482
