N=100, M=2, T=30
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXPERIMENT | AKPU                                       | SPU                                       | SPUhull                                   | KPU                                       | AMPU
           |                 TIME                 VALUE |                 TIME                VALUE |                 TIME                VALUE |                TIME                 VALUE |                 TIME                VALUE
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0 |             5.157613        0.828517265101 |             2.265413       0.828517265076 |             1.469862       0.828517265076 |             5.154343       0.828517265101 |             0.019987       0.828517265101
         1 |             5.553906        0.347325146287 |             2.038827       0.347325146287 |             2.047165       0.347325146287 |             5.586195       0.347325146287 |             0.020798       0.347325146287
         2 |             5.568066        0.275981308661 |             2.040284       0.275981308661 |             2.061887       0.275981308661 |              5.54881       0.275981308661 |             0.018947       0.275981691663
         3 |             5.599351        0.983782804259 |             2.003758        0.98378176259 |             2.041523        0.98378176259 |             5.553219       0.983782804259 |              0.01967       0.983782804259
         4 |             5.571134        0.281963646194 |             2.053437       0.281963646194 |             2.040471       0.281963646194 |             5.584021       0.281963646194 |             0.018749       0.281963646194
         5 |             5.600737        0.691786062875 |             2.041514       0.691786062875 |             2.051132       0.691786062875 |             5.537065       0.691786062875 |             0.020234       0.691786062875
         6 |             5.521455        0.716341732917 |             2.056141       0.716341732917 |              2.01085       0.716341732917 |             5.522651       0.716341732917 |             0.020589       0.734754873564
         7 |             5.520684        0.682303168111 |             2.027227       0.682303158466 |             2.053004       0.682303158466 |             5.546743       0.682303158466 |             0.019429       0.682303168111
         8 |             5.562178        0.797258969715 |             2.020935       0.797258969715 |             2.034573       0.797258969715 |             5.520579       0.797258969715 |             0.019824       0.797259010142
         9 |             5.632702        0.672480055397 |             2.037553       0.672480055397 |             2.100936       0.672480055397 |             5.579238       0.672480055397 |             0.021818       0.672480055401
        10 |             4.824056        0.169517568793 |             1.343424       0.169510957494 |             1.364267       0.169510957494 |              4.84303       0.169517568793 |             0.020296       0.169517568793
        11 |             5.501129        0.453818504574 |             2.007521       0.453818504574 |             2.050412       0.453818504574 |             5.536366       0.453818504574 |             0.019629       0.453818504574
        12 |             4.821538        0.202313117559 |             1.365778       0.202313117559 |             1.366947       0.202313117559 |             4.851149       0.202313118184 |             0.019538       0.202313118184
        13 |             4.813286        0.607156655976 |             1.338766       0.607156655976 |             1.329775       0.607156655976 |             4.792956       0.607156655976 |               0.0188       0.607156655976
        14 |             5.544033        0.408207501863 |             2.061791       0.408207501863 |             2.031181       0.408207501863 |             5.563304       0.408207501863 |             0.020008       0.408207501863
        15 |             5.635968        0.276522258044 |              2.06445       0.276522258044 |              2.09709       0.276522258044 |             5.604879       0.276522258044 |             0.018733       0.276522258044
        16 |             5.565862        0.639554724966 |              2.05102       0.639554724966 |             2.081472       0.639554724966 |             5.579569       0.639554724966 |             0.019322        0.63955472517
        17 |              5.52538        0.423781479959 |             2.036538       0.423781479959 |             2.049096       0.423781479959 |             5.570864       0.423781479959 |             0.019469       0.423781479959
        18 |             4.857975        0.395120408511 |             1.355706       0.395120408511 |              1.36596       0.395120408511 |             4.875933       0.395120408511 |             0.018959       0.395120408511
        19 |              5.49878        0.629677937874 |              1.99983       0.629677937874 |             2.048767       0.629677937874 |             5.557977       0.629677937874 |              0.01866       0.629677937874
        20 |             5.547697        0.271306403862 |              2.04485       0.271306248715 |             2.063923       0.271306248715 |             5.585112       0.271306248715 |             0.019823       0.271306403899
        21 |              4.89644        0.189620931671 |             1.343398       0.189620931671 |             1.364375       0.189620931671 |             4.969788       0.189620931671 |             0.018646       0.189620931671
        22 |             5.491043        0.877896556871 |             1.997341       0.877896556871 |              2.02806       0.877896556871 |             5.509336       0.877896556871 |             0.019271       0.877896556871
        23 |             6.185579        0.373208207718 |             2.665628       0.373208177429 |             2.712944       0.373208177429 |             6.219544       0.416383617672 |             0.019403       0.416383617672
        24 |             5.537996        0.922595961233 |             2.032878       0.922595961233 |             2.058314       0.922595961233 |             5.553637       0.922595961233 |             0.019294       0.922595961233
        25 |             5.593064        0.867042153695 |             2.019637       0.855811794686 |             2.080198       0.855811794686 |             5.661263       0.867042153474 |      0.0196350000001       0.867049689466
        26 |             5.566339        0.842661230369 |             2.029496       0.842661230369 |             2.073303       0.842661230369 |             5.578868       0.842661230369 |             0.018897       0.842661230369
        27 |             5.545424        0.792341310772 |             2.012398       0.792341310772 |             2.033374       0.792341310772 |             5.542721       0.792341310772 |             0.019004       0.792341310772
        28 |             4.823616        0.812568477735 |             1.385605       0.812568476282 |             1.357849       0.812568476282 |             4.910504       0.812568485811 |             0.018978       0.812568485811
        29 |             6.162168        0.188435042845 |             2.688691       0.188435042845 |             2.701738       0.188435042845 |             6.165332        0.18854961451 |             0.019787        0.18854961451
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   AVERAGE |        5.44083996667       0.554036219814 |        1.94766116667       0.553661612862 |        1.93901493333       0.553661612862 |        5.45349986667        0.55547921399 |            0.0195399       0.556093256161
