N=100, M=25, T=30
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXPERIMENT | MPU                                        | SPU                                       | SPUhull                                   | KPU                                       | APU
           |                 TIME                 VALUE |                 TIME                VALUE |                 TIME                VALUE |                TIME                 VALUE |                 TIME                VALUE
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0 |                  0.0                   0.0 |            103.08561       0.788664571423 |            66.999363       0.788664571423 |           302.473835       0.794632126263 |           323.021338       0.553514132764
         1 |                  0.0                   0.0 |           120.567826        0.78487649002 |            83.934412        0.78487649002 |           315.450062        0.78634320087 |           352.247639       0.625699011544
         2 |                  0.0                   0.0 |            73.221629       0.750264819475 |            84.105799       0.750264819475 |           282.514587       0.750808740281 |            331.91467       0.497294734896
         3 |                  0.0                   0.0 |            47.905587       0.744397038524 |            41.181509       0.744397038524 |           648.016852       0.748942290376 |           339.786602       0.545127552021
         4 |                  0.0                   0.0 |            73.183722       0.711868831923 |            62.723422       0.711868831923 |           292.623606       0.754484058551 |           327.992255       0.524629506724
         5 |                  0.0                   0.0 |           144.386662       0.615796531206 |           124.765807       0.615796531206 |           435.452158       0.656959693903 |           339.305824       0.525644151663
         6 |                  0.0                   0.0 |            97.405509       0.716081672136 |             82.62429       0.716081672136 |           344.510057       0.731912129355 |           347.160632       0.590415705307
         7 |                  0.0                   0.0 |           168.308573       0.653392369514 |           145.967939       0.653392369514 |           371.568925       0.654872255464 |           346.696022       0.468669188859
         8 |                  0.0                   0.0 |           121.331491       0.794365180702 |            62.365516       0.794365180702 |           443.744498       0.840759905868 |           335.222318       0.589671052676
         9 |                  0.0                   0.0 |            96.478264       0.779772081676 |            81.905627       0.779772081676 |            333.02741       0.791238987045 |           322.737139        0.53167248783
        10 |                  0.0                   0.0 |            96.715678        0.73315119771 |            83.692765       0.733151197703 |           310.519044       0.796475380179 |           320.424752       0.498376554252
        11 |                  0.0                   0.0 |            96.488784       0.775063717439 |            61.905358       0.775063717439 |           276.241146       0.776710598615 |           316.575183       0.503871215651
        12 |                  0.0                   0.0 |            71.646119       0.742926460035 |            82.882086       0.742926460035 |          1415.881197       0.742928675615 |           348.913612       0.520420339675
        13 |                  0.0                   0.0 |           121.931194       0.741124224527 |            83.945122       0.741124224527 |           330.968862       0.742138208496 |           337.148322       0.488472919065
        14 |                  0.0                   0.0 |            96.210511       0.779695740128 |           103.368025       0.779695740128 |           366.659329       0.782478092316 |           335.663532        0.56981663072
        15 |                  0.0                   0.0 |            72.790727        0.76503503097 |            102.28764        0.76503503097 |          1482.588591       0.775174834584 |           313.024529       0.507709708697
        16 |                  0.0                   0.0 |           147.712998       0.688715293163 |            83.504902       0.688715293163 |             304.1219       0.702981874819 |           339.044484       0.514402386508
        17 |                  0.0                   0.0 |            97.176899       0.697571139636 |            63.737651       0.697571139636 |           249.723166       0.699803430379 |           332.181318        0.45929757478
        18 |                  0.0                   0.0 |           121.086874       0.845946972601 |           104.351104       0.845946972601 |           334.787225       0.858204914524 |           335.714201       0.626423078411
        19 |                  0.0                   0.0 |            97.616783       0.671401643718 |             83.17728       0.671401643718 |           364.049873       0.673834879348 |           336.275292       0.480695095179
        20 |                  0.0                   0.0 |            73.403947       0.702117176585 |            83.695951       0.702117176585 |           306.245274       0.761993689979 |            345.73826       0.396584365587
        21 |                  0.0                   0.0 |           119.107223       0.643384346117 |           102.391722       0.643384346117 |           478.552817       0.659305357481 |           349.247239       0.458216370097
        22 |                  0.0                   0.0 |           145.862276       0.675611249528 |            62.671515       0.675611249528 |          1091.378954       0.675734911979 |           332.029471       0.444386602273
        23 |                  0.0                   0.0 |            97.592533       0.813671344946 |            84.018251       0.813671344946 |            312.05768       0.816519806481 |           335.971365       0.601074679045
        24 |                  0.0                   0.0 |            121.06703       0.678758521093 |           104.632303       0.678758521093 |           329.779045       0.693695241556 |           312.339649       0.505521643069
        25 |                  0.0                   0.0 |           193.784206       0.763924986868 |            61.974129       0.763924986868 |           914.768328       0.765035853089 |           327.117023       0.517526966792
        26 |                  0.0                   0.0 |           168.106612       0.624608787981 |            144.37034       0.624608787981 |           348.576902       0.624631478906 |           323.413076       0.449099441866
        27 |                  0.0                   0.0 |           145.565425       0.709399951743 |           123.546068       0.709399951743 |           339.921623       0.725780716619 |           330.038711       0.511774971119
        28 |                  0.0                   0.0 |             97.47241       0.640692824784 |             62.59187       0.640692824784 |            404.43293       0.640692826698 |           322.276352       0.389696913623
        29 |                  0.0                   0.0 |           121.065255       0.754004781626 |            85.445234       0.754004781626 |           328.662354       0.785200709894 |           326.399973       0.561643314795
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   AVERAGE |                  0.0                  0.0 |        111.609278567        0.72620949926 |        86.8254333333        0.72620949926 |        468.643274333       0.740342495651 |          332.8540261       0.515244943183
